Number;Name;Height;East;Degree;Minute;Second;North;Degree;Minute;Second
79;;6280;94° 53' 18'';94;53;18;30° 28' 29'';30;28;29
80;;6278;93° 31' 50'';93;31;50;30° 30' 12'';30;30;12
81;;6266;94° 4' 53'';94;4;53;30° 11' 7'';30;11;7
82;;6264;93° 55' 25'';93;55;25;30° 18' 39'';30;18;39
83;;6260;93° 43' 56'';93;43;56;30° 17' 49'';30;17;49
84;;6260;93° 43' 56'';93;43;56;30° 17' 49'';30;17;49
85;;6255;93° 40' 47'';93;40;47;30° 17' 39'';30;17;39
86;Goyon I;6252;95° 3' 6'';95;3;6;30° 35' 3'';30;35;3
87;;6252;93° 33' 8'';93;33;8;30° 19' 31'';30;19;31
88;;6251;94° 41' 29'';94;41;29;30° 33' 55'';30;33;55
89;;6250;94° 26' 38'';94;26;38;30° 33' 41'';30;33;41
90;;6244;93° 47'32'';93;47;32;30° 18' 30'';30;18;30
91;;6244;93° 31'55'';93;31;55;30° 18' 52'';30;18;52
92;Dojiza;6240;95° 28' 4'';95;28;4;29° 59' 7'';29;59;7
93;;6240;95° 34' 11'';95;34;11;30° 16' 8'';30;16;8
94;;6237;93° 13'27';93;13;27;30° 31' 1'';30;31;1
95;;6236;93° 50' 52'';93;50;52;30° 55' 18'';30;55;18
96;;6233;93° 37' 37'';93;37;37;30° 29' 36'';30;29;36
97;;6232;95° 8' 17'';95;8;17;30° 21' 54'';30;21;54
98;;6230;93° 38' 22'';93;38;22;30° 31' 14'';30;31;14
99;;6230;94° 22' 39'';94;22;39;30° 37' 41'';30;37;41
100;;6230;94° 12' 11'';94;12;11;30° 32' 58'';30;32;58
101;;6230;95° 9' 5'';95;9;5;30° 16' 38'';30;16;38
102;;6229;93° 53' 55'';93;53;55;30° 20' 6'';30;20;6
103;;6224;95° 9' 32'';95;9;32;30° 24' 46'';30;24;46
104;;6216;93° 44' 30'';93;44;30;30° 11' 53'';30;11;53
105;;6210;93° 27'47'';93;27;47;30° 12' 42'';30;12;42
106;Chung Jung Tso;6204;94° 54' 37'';94;54;37;30° 35' 15'';30;35;15
107;;6200;94° 29' 21'';94;29;21;30° 24' 26'';30;24;26
108;;6198;95° 0' 59'';95;0;59;30° 17' 29'';30;17;29
109;;6196;93° 54' 35'';93;54;35;30° 19' 7'';30;19;7
110;;6190;94° 2' 21'';94;2;21;30° 9' 14'';30;9;14
111;;6188;93° 52' 18'';93;52;18;30° 20' 34'';30;20;34
112;;6188;93° 25' 44'';93;25;44;30° 11' 8'';30;11;8
113;;6188;94° 14' 56'';94;14;56;30° 8' 47'';30;8;47
114;;6188;94° 13' 22'';94;13;22;30° 10' 47'';30;10;47
115;;6182;93° 20' 31'';93;20;31;30° 28' 50'';30;28;50
116;;6182;94° 52' 43'';94;52;43;30° 36' 21'';30;36;21
117;;6180;93° 31' 4'';93;31;4;30° 30' 16'';30;30;16
118;;6178;95° 1' 31'';95;1;31;30° 32' 18'';30;32;18
119;;6175;93° 37' 2'';93;37;2;30° 17' 13'';30;17;13
120;;6172;93° 42' 29'';93;42;29;30° 18' 8'';30;18;8
121;Taxilanglung;6170;94° 19' 12'';94;19;12;30° 19' 20'';30;19;20
122;Tatsekangpu;6168;95° 18' 37'';95;18;37;30° 20' 21'';30;20;21
123;;6168;93° 55' 53'';93;55;53;30° 20' 40'';30;20;40
124;;6168;94° 7' 28'';94;7;28;30° 17' 10'';30;17;10
125;;6163;93° 40' 43'';93;40;43;30° 14' 47'';30;14;47
126;;6163;94° 19' 37'';94;19;37;30° 36' 11'';30;36;11
127;;6162;94° 12' 21'';94;12;21;30° 31' 3'';30;31;3
128;;6161;95° 7' 50'';95;7;50;30° 33' 39'';30;33;39
129;;6160;94° 19' 49'';94;19;49;30° 38' 52'';30;38;52
130;;6156;95° 0' 60'';95;0;60;30° 33' 42'';30;33;42
131;;6156;95° 2' 13'';95;2;13;30° 31' 32'';30;31;32
132;;6154;95° 2' 13'';95;2;13;30° 17' 36'';30;17;36
133;;6152;93° 26' 29'';93;26;29;30° 12' 35'';30;12;35
134;;6151;93° 47' 11'';93;47;11;30° 17' 53'';30;17;53
135;;6150;93° 46' 36'';93;46;36;30° 22' 40'';30;22;40
136;;6146;93° 25' 14'';93;25;14;30° 29' 19'';30;29;19
137;;6141;94° 31' 30'';94;31;30;30° 41' 15'';30;41;15
138;;6140;93° 48' 18'';93;48;18;30° 23' 3'';30;23;3
139;;6140;95° 2' 7'';95;2;7;30° 34' 48'';30;34;48
140;;6140;94° 59' 32'';94;59;32;30° 34' 45'';30;34;45
141;;6140;95° 8' 51'';95;8;51;30° 26' 1'';30;26;1
142;;6140;94° 12' 11'';94;12;11;30° 10' 13'';30;10;13
143;;6138;93° 34' 21'';93;34;21;30° 29' 54'';30;29;54
144;;6138;95° 9' 13'';95;9;13;30° 33' 21'';30;33;21
145;;6137;93° 50' 21'';93;50;21;30° 17' 57'';30;17;57
146;;6135;95° 44' 46'';95;44;46;29° 56' 33'';29;56;33
147;;6133;93° 49' 31'';93;49;31;30° 18' 11'';30;18;11
148;;6132;93° 56' 23';93;56;23;30° 5' 23'';30;5;23
149;;6131;93° 35' 10'';93;35;10;30° 30' 28'';30;30;28
150;;6130;93° 47'36'';93;47;36;30° 22' 29'';30;22;29
151;;6130;94° 6' 24'';94;6;24;30° 23' 31'';30;23;31
152;Zhaxi Pading;6128;93° 58' 37'';93;58;37;30° 52' 57'';30;52;57
